MaTin,ThanhPho,QuanHuyen,PhuongXa,DuAn,LoaiHinh,TinhTrang,DienTich_m2,SoPhongNgu,SoWC,HuongBanCong,Tang,NamBanGiao,PhapLy,NoiThat,GiaTyVND,GiaTrieu_m2,PhiQuanLyNghin_m2,ChoDoXe,GanMetro,HoBoi,PhongGym,NoiBat,NgayDangTin,GhiChuNguon
HN0200,Hà Nội,Long Biên,Gia Thụy,Masteri Riverside,Chung cư,Chuyển nhượng,70.3,2,2,Tây Bắc,13,2023,Sổ hồng lâu dài,Cơ bản,4.33,61.6,10.4,Ô tô + xe máy,Không,Không,Có,Gần trường quốc tế,2025-11-05,Dữ liệu tổng hợp mô phỏng
HN0201,Hà Nội,Hà Đông,Kiến Hưng,Seasons Avenue,Chung cư,Cần bán gấp,53.7,1,1,Đông Bắc,35,2024,Đang chờ sổ,Nhà thô,2.8,52.2,19.7,Ô tô + xe máy,Không,Có,Có,Gần trung tâm thương mại,2025-12-07,Dữ liệu tổng hợp mô phỏng
HN0202,Hà Nội,Hoàng Mai,Lĩnh Nam,Gelexia Riverside,Chung cư,Đang bán,40.7,1,1,Tây Nam,33,2024,Sổ hồng lâu dài,Cơ bản,2.72,66.8,22.2,Xe máy,Có,Có,Có,Ban công rộng,2025-12-26,Dữ liệu tổng hợp mô phỏng
HN0203,Hà Nội,Hoàng Mai,Tân Mai,New Horizon City,Chung cư,Đang bán,71.1,2,2,Nam,39,2017,Sổ hồng lâu dài,Cơ bản,4.41,62.0,18.0,Ô tô + xe máy,Không,Có,Không,Tầng trung đẹp,2026-01-11,Dữ liệu tổng hợp mô phỏng
HN0204,Hà Nội,Tây Hồ,Quảng An,Sunshine Riverside,Chung cư,Cần bán gấp,100.1,3,2,Đông Nam,9,2015,Sổ hồng lâu dài,Cơ bản,11.08,110.7,8.9,Ô tô + xe máy,Không,Không,Không,Gần công viên,2025-11-07,Dữ liệu tổng hợp mô phỏng
HN0205,Hà Nội,Cầu Giấy,Dịch Vọng,Sky Park Residence,Chung cư,Cần bán gấp,76.7,2,2,Bắc,28,2021,Sổ hồng lâu dài,Nhà thô,5.64,73.4,11.2,Ô tô + xe máy,Có,Không,Không,Gần tuyến metro,2026-01-26,Dữ liệu tổng hợp mô phỏng
HN0206,Hà Nội,Hoàng Mai,Đại Kim,Imperia Park,Chung cư,Cho thuê mua,74.7,2,2,Đông Nam,13,2013,Sổ hồng lâu dài,Cơ bản,4.4,59.0,18.5,Ô tô + xe máy,Không,Có,Có,Căn góc,2025-11-17,Dữ liệu tổng hợp mô phỏng
HN0207,Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Central Field,Chung cư,Chuyển nhượng,67.1,2,2,Tây Bắc,3,2016,Sổ hồng lâu dài,Cơ bản,4.51,67.1,14.1,Ô tô + xe máy,Không,Có,Có,Tầng trung đẹp,2026-02-04,Dữ liệu tổng hợp mô phỏng
HN0208,Hà Nội,Long Biên,Ngọc Lâm,Masteri Tower,Chung cư,Cần bán gấp,165.9,4,3,Đông Bắc,40,2025,HĐMB,Full nội thất,8.55,51.5,13.7,Không rõ,Không,Có,Không,Gần trung tâm thương mại,2026-01-26,Dữ liệu tổng hợp mô phỏng
HN0209,Hà Nội,Ba Đình,Ngọc Khánh,Vinhomes Metropolis,Chung cư,Đang bán,65.6,2,2,Tây,39,2016,HĐMB,Full nội thất,8.02,122.3,12.4,Ô tô + xe máy,Có,Không,Không,Ban công rộng,2026-03-01,Dữ liệu tổng hợp mô phỏng
HN0210,Hà Nội,Hai Bà Trưng,Quỳnh Lôi,IA20 Riverside,Chung cư,Đang bán,77.9,2,2,Đông,37,2012,Đang chờ sổ,Nội thất cao cấp,6.44,82.7,18.3,Ô tô + xe máy,Có,Không,Có,Đầy đủ tiện ích,2026-02-12,Dữ liệu tổng hợp mô phỏng
HN0211,Hà Nội,Thanh Xuân,Thượng Đình,The Legend,Chung cư,Đang bán,71.2,2,2,Nam,35,2017,Sổ hồng 50 năm,Cơ bản,5.06,71.0,16.3,Xe máy,Có,Có,Có,Ban công rộng,2026-01-07,Dữ liệu tổng hợp mô phỏng
HN0212,Hà Nội,Thanh Xuân,Khương Đình,GoldSeason,Chung cư,Đang bán,83.8,2,2,Tây Nam,24,2017,Sổ hồng lâu dài,Nhà thô,4.93,58.9,14.6,Ô tô + xe máy,Không,Có,Không,Gần trung tâm thương mại,2026-03-15,Dữ liệu tổng hợp mô phỏng
HN0213,Hà Nội,Tây Hồ,Xuân La,Sunshine Riverside,Chung cư,Cần bán gấp,57.2,1,1,Bắc,12,2019,Đang chờ sổ,Cơ bản,6.21,108.6,21.0,Ô tô riêng,Có,Có,Có,Đầy đủ tiện ích,2026-03-15,Dữ liệu tổng hợp mô phỏng
HN0214,Hà Nội,Long Biên,Phúc Đồng,Anland Park,Chung cư,Chuyển nhượng,84.3,3,3,Đông Bắc,19,2017,Đang chờ sổ,Cơ bản,4.0,47.4,15.4,Ô tô + xe máy,Không,Có,Có,Gần tuyến metro,2026-02-24,Dữ liệu tổng hợp mô phỏng
HN0215,Hà Nội,Hai Bà Trưng,Quỳnh Lôi,Sunshine Park,Chung cư,Đang bán,100.1,3,2,Đông Bắc,27,2021,Sổ hồng lâu dài,Nhà thô,8.6,85.9,14.1,Xe máy,Không,Không,Có,Gần trường quốc tế,2026-01-12,Dữ liệu tổng hợp mô phỏng
HN0216,Hà Nội,Hoàng Mai,Tân Mai,Gamuda Gardens,Chung cư,Cần bán gấp,66.9,2,2,Tây,31,2024,Sổ hồng lâu dài,Full nội thất,4.14,61.9,8.4,Xe máy,Không,Không,Có,View sông thoáng,2026-02-15,Dữ liệu tổng hợp mô phỏng
HN0217,Hà Nội,Ba Đình,Giảng Võ,Lancaster Núi Trúc,Chung cư,Đang bán,55.8,2,2,Đông Bắc,28,2020,HĐMB,Nội thất cao cấp,6.15,110.2,13.6,Ô tô + xe máy,Có,Có,Có,Gần trường quốc tế,2026-04-02,Dữ liệu tổng hợp mô phỏng
HN0218,Hà Nội,Tây Hồ,Bưởi,Heritage West Lake,Chung cư,Chuyển nhượng,174.1,4,3,Tây Nam,38,2019,HĐMB,Nội thất cao cấp,19.99,114.9,15.8,Xe máy,Không,Không,Có,Gần trung tâm thương mại,2026-03-18,Dữ liệu tổng hợp mô phỏng
HN0219,Hà Nội,Nam Từ Liêm,Mễ Trì,HD Mon City,Chung cư,Chuyển nhượng,48.5,1,1,Tây Nam,11,2017,Sổ hồng lâu dài,Nhà thô,3.46,71.4,13.4,Ô tô riêng,Không,Có,Không,Gần tuyến metro,2026-01-04,Dữ liệu tổng hợp mô phỏng
HN0220,Hà Nội,Bắc Từ Liêm,Cổ Nhuế 2,Sunshine Garden,Chung cư,Chuyển nhượng,109.1,3,3,Nam,17,2016,Sổ hồng lâu dài,Nhà thô,5.42,49.7,19.0,Xe máy,Có,Có,Có,Căn góc,2025-12-25,Dữ liệu tổng hợp mô phỏng
HN0221,Hà Nội,Cầu Giấy,Dịch Vọng,Central Field,Chung cư,Đang bán,73.5,2,2,Bắc,20,2023,Sổ hồng lâu dài,Cơ bản,5.46,74.2,11.3,Ô tô + xe máy,Có,Không,Có,Gần trung tâm thương mại,2026-03-17,Dữ liệu tổng hợp mô phỏng
HN0222,Hà Nội,Nam Từ Liêm,Mễ Trì,MHDI Plaza,Chung cư,Cần bán gấp,102.4,3,3,Tây Nam,32,2023,Sổ hồng lâu dài,Nhà thô,9.16,89.4,9.3,Ô tô + xe máy,Có,Không,Không,View nội khu yên tĩnh,2026-03-09,Dữ liệu tổng hợp mô phỏng
HN0223,Hà Nội,Long Biên,Phúc Đồng,Masteri City,Chung cư,Đang bán,84.8,2,2,Tây Bắc,15,2019,HĐMB,Full nội thất,4.48,52.8,15.0,Không rõ,Không,Có,Có,Gần tuyến metro,2025-11-27,Dữ liệu tổng hợp mô phỏng
HN0224,Hà Nội,Hoàng Mai,Hoàng Liệt,The Zen Residence,Chung cư,Đang bán,56.6,2,2,Tây,16,2013,Sổ hồng lâu dài,Nhà thô,2.69,47.5,18.5,Ô tô + xe máy,Có,Không,Có,Gần công viên,2025-10-15,Dữ liệu tổng hợp mô phỏng
HN0225,Hà Nội,Nam Từ Liêm,Phú Đô,Mỹ Đình Pearl,Chung cư,Chuyển nhượng,50.4,1,1,Nam,6,2012,Sổ hồng lâu dài,Cơ bản,3.22,64.0,13.7,Xe máy,Không,Có,Không,Gần trung tâm thương mại,2026-04-04,Dữ liệu tổng hợp mô phỏng
HN0226,Hà Nội,Nam Từ Liêm,Mỹ Đình 1,Mỹ Đình Pearl,Chung cư,Đang bán,68.1,2,2,Đông Nam,21,2020,Sổ hồng lâu dài,Cơ bản,5.05,74.1,21.2,Ô tô + xe máy,Không,Không,Có,View sông thoáng,2025-11-25,Dữ liệu tổng hợp mô phỏng
HN0227,Hà Nội,Thanh Xuân,Thượng Đình,The Legend,Chung cư,Đang bán,50.8,1,1,Tây,27,2023,HĐMB,Cơ bản,3.89,76.6,17.7,Ô tô + xe máy,Không,Có,Có,Tầng trung đẹp,2026-01-27,Dữ liệu tổng hợp mô phỏng
HN0228,Hà Nội,Ba Đình,Cống Vị,Vinhomes Metropolis,Chung cư,Chuyển nhượng,56.8,1,1,Tây Bắc,14,2025,Sổ hồng lâu dài,Cơ bản,5.0,88.2,19.2,Xe máy,Có,Có,Có,View nội khu yên tĩnh,2026-02-15,Dữ liệu tổng hợp mô phỏng
HN0229,Hà Nội,Long Biên,Việt Hưng,Sunshine Plaza,Chung cư,Đang bán,77.3,2,2,Bắc,29,2025,Sổ hồng lâu dài,Full nội thất,4.73,61.2,13.5,Không rõ,Không,Có,Có,Gần tuyến metro,2026-01-01,Dữ liệu tổng hợp mô phỏng
HN0230,Hà Nội,Hoàng Mai,Hoàng Liệt,Imperia Premier,Chung cư,Chuyển nhượng,71.7,2,2,Đông Bắc,9,2024,HĐMB,Nội thất cao cấp,3.91,54.5,11.0,Ô tô + xe máy,Không,Có,Có,Tầng trung đẹp,2025-12-17,Dữ liệu tổng hợp mô phỏng
HN0231,Hà Nội,Tây Hồ,Bưởi,Anland Residence,Chung cư,Cần bán gấp,99.4,3,3,Đông Nam,41,2015,Sổ hồng lâu dài,Nội thất cao cấp,11.35,114.2,16.1,Ô tô + xe máy,Không,Không,Có,Gần tuyến metro,2026-03-06,Dữ liệu tổng hợp mô phỏng
HN0232,Hà Nội,Hà Đông,Văn Quán,The Pride,Chung cư,Đang bán,81.0,3,3,Tây,38,2020,Sổ hồng lâu dài,Cơ bản,4.43,54.6,10.5,Ô tô + xe máy,Không,Có,Không,View sông thoáng,2025-11-14,Dữ liệu tổng hợp mô phỏng
HN0233,Hà Nội,Hai Bà Trưng,Quỳnh Lôi,IA20 Residence,Chung cư,Chuyển nhượng,54.5,1,1,Tây Nam,39,2025,Sổ hồng lâu dài,Full nội thất,5.66,103.9,21.9,Ô tô + xe máy,Không,Có,Không,Gần trung tâm thương mại,2025-10-24,Dữ liệu tổng hợp mô phỏng
HN0234,Hà Nội,Ba Đình,Vĩnh Phúc,The Golden Armor,Chung cư,Chuyển nhượng,48.8,1,1,Đông,12,2017,Sổ hồng lâu dài,Cơ bản,4.68,95.9,18.7,Ô tô + xe máy,Có,Có,Có,Gần trường quốc tế,2026-01-13,Dữ liệu tổng hợp mô phỏng
HN0235,Hà Nội,Thanh Xuân,Khương Trung,Royal City,Chung cư,Chuyển nhượng,48.0,1,1,Tây Nam,11,2024,Sổ hồng lâu dài,Cơ bản,3.37,70.2,21.2,Ô tô + xe máy,Có,Không,Có,Tầng trung đẹp,2026-03-18,Dữ liệu tổng hợp mô phỏng
HN0236,Hà Nội,Nam Từ Liêm,Mỹ Đình 2,The Matrix One,Chung cư,Chuyển nhượng,72.8,2,2,Nam,4,2024,Sổ hồng 50 năm,Cơ bản,6.17,84.8,10.6,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-03-12,Dữ liệu tổng hợp mô phỏng
HN0237,Hà Nội,Tây Hồ,Phú Thượng,Sun Grand City,Chung cư,Chuyển nhượng,51.9,1,1,Đông,10,2016,Sổ hồng lâu dài,Cơ bản,4.7,90.7,12.7,Ô tô + xe máy,Không,Có,Có,View nội khu yên tĩnh,2026-01-03,Dữ liệu tổng hợp mô phỏng
HN0238,Hà Nội,Nam Từ Liêm,Mỹ Đình 1,Golden Park Pearl,Chung cư,Đang bán,78.7,2,2,Tây,42,2016,Sổ hồng lâu dài,Full nội thất,5.84,74.2,23.3,Xe máy,Không,Có,Không,Đầy đủ tiện ích,2026-02-09,Dữ liệu tổng hợp mô phỏng
HN0239,Hà Nội,Hà Đông,Phú La,The Pride,Chung cư,Chuyển nhượng,103.9,3,2,Đông Nam,15,2020,HĐMB,Full nội thất,5.47,52.7,24.6,Ô tô + xe máy,Không,Không,Có,Ban công rộng,2026-01-09,Dữ liệu tổng hợp mô phỏng
HN0240,Hà Nội,Long Biên,Ngọc Lâm,FLC City,Chung cư,Đang bán,120.1,3,2,Đông Bắc,38,2016,Sổ hồng lâu dài,Cơ bản,5.81,48.4,17.4,Xe máy,Không,Có,Có,Tầng trung đẹp,2026-03-01,Dữ liệu tổng hợp mô phỏng
HN0241,Hà Nội,Thanh Xuân,Khương Đình,Imperia Garden,Chung cư,Chuyển nhượng,59.2,2,2,Nam,37,2022,Sổ hồng lâu dài,Full nội thất,4.36,73.7,25.9,Không rõ,Có,Không,Không,Ban công rộng,2026-03-23,Dữ liệu tổng hợp mô phỏng
HN0242,Hà Nội,Nam Từ Liêm,Mỹ Đình 2,The Matrix One,Chung cư,Cần bán gấp,114.4,3,3,Bắc,29,2016,Sổ hồng 50 năm,Full nội thất,9.4,82.1,22.0,Ô tô + xe máy,Có,Không,Có,Căn góc,2025-11-05,Dữ liệu tổng hợp mô phỏng
HN0243,Hà Nội,Cầu Giấy,Dịch Vọng,Sunshine Pearl,Chung cư,Chuyển nhượng,75.6,2,2,Bắc,33,2014,Sổ hồng lâu dài,Nội thất cao cấp,6.04,79.9,16.8,Ô tô + xe máy,Có,Có,Không,View nội khu yên tĩnh,2026-01-30,Dữ liệu tổng hợp mô phỏng
HN0244,Hà Nội,Long Biên,Việt Hưng,EcoLife Pearl,Chung cư,Đang bán,57.1,1,1,Đông,31,2025,HĐMB,Cơ bản,3.89,68.1,22.8,Xe máy,Không,Không,Có,Gần tuyến metro,2025-11-26,Dữ liệu tổng hợp mô phỏng
HN0245,Hà Nội,Thanh Xuân,Thượng Đình,The Legend,Chung cư,Cần bán gấp,81.3,2,2,Đông,18,2020,Sổ hồng lâu dài,Cơ bản,5.34,65.6,21.8,Không rõ,Có,Có,Không,Căn góc,2025-12-12,Dữ liệu tổng hợp mô phỏng
HN0246,Hà Nội,Hai Bà Trưng,Vĩnh Tuy,Masteri City,Chung cư,Chuyển nhượng,74.4,2,2,Đông Bắc,8,2023,Đang chờ sổ,Cơ bản,5.88,79.0,15.1,Ô tô + xe máy,Có,Có,Không,Gần trung tâm thương mại,2025-12-14,Dữ liệu tổng hợp mô phỏng
HN0247,Hà Nội,Hai Bà Trưng,Vĩnh Tuy,The Matrix Riverside,Chung cư,Cho thuê mua,85.6,3,2,Đông,31,2022,Sổ hồng lâu dài,Nội thất cao cấp,7.42,86.7,14.8,Ô tô + xe máy,Không,Không,Có,Gần trường quốc tế,2026-02-27,Dữ liệu tổng hợp mô phỏng
HN0248,Hà Nội,Bắc Từ Liêm,Xuân Đỉnh,Sunshine Grand,Chung cư,Cần bán gấp,123.2,3,3,Tây Bắc,14,2013,Sổ hồng lâu dài,Nhà thô,7.79,63.2,8.2,Ô tô + xe máy,Không,Không,Có,Gần công viên,2026-02-08,Dữ liệu tổng hợp mô phỏng
HN0249,Hà Nội,Thanh Xuân,Thượng Đình,Vinhomes Garden,Chung cư,Cần bán gấp,50.0,1,1,Tây Nam,18,2026,Sổ hồng lâu dài,Full nội thất,3.76,75.1,19.8,Ô tô + xe máy,Không,Có,Không,Căn góc,2026-01-15,Dữ liệu tổng hợp mô phỏng
HN0250,Hà Nội,Hà Đông,Văn Quán,HPC Landmark 105,Chung cư,Đang bán,107.5,3,2,Bắc,32,2023,Sổ hồng lâu dài,Cơ bản,5.17,48.1,9.2,Ô tô + xe máy,Không,Có,Có,Căn góc,2026-01-15,Dữ liệu tổng hợp mô phỏng
HN0251,Hà Nội,Hai Bà Trưng,Bạch Mai,Golden Park Pearl,Chung cư,Cần bán gấp,52.6,1,1,Tây Bắc,36,2013,Sổ hồng lâu dài,Cơ bản,5.18,98.5,13.7,Ô tô + xe máy,Không,Có,Có,Tầng trung đẹp,2025-12-03,Dữ liệu tổng hợp mô phỏng
HN0252,Hà Nội,Thanh Xuân,Khương Đình,The Legend,Chung cư,Chuyển nhượng,90.5,3,3,Đông Nam,15,2012,HĐMB,Cơ bản,5.22,57.7,11.7,Xe máy,Không,Có,Có,Gần trung tâm thương mại,2026-04-07,Dữ liệu tổng hợp mô phỏng
HN0253,Hà Nội,Long Biên,Ngọc Lâm,EcoLife Riverside,Chung cư,Đang bán,71.5,2,2,Tây Bắc,3,2013,HĐMB,Cơ bản,3.73,52.1,8.5,Ô tô + xe máy,Có,Có,Có,Gần công viên,2026-03-31,Dữ liệu tổng hợp mô phỏng
HN0254,Hà Nội,Cầu Giấy,Mai Dịch,Anland Residence,Chung cư,Chuyển nhượng,104.2,3,3,Đông Bắc,32,2024,Sổ hồng lâu dài,Cơ bản,8.14,78.1,18.0,Ô tô + xe máy,Không,Có,Không,Ban công rộng,2026-03-24,Dữ liệu tổng hợp mô phỏng
HN0255,Hà Nội,Hà Đông,Kiến Hưng,The Pride,Chung cư,Cho thuê mua,105.7,3,3,Tây,14,2021,Sổ hồng lâu dài,Nội thất cao cấp,4.35,41.2,20.8,Ô tô + xe máy,Có,Không,Có,Căn góc,2026-02-13,Dữ liệu tổng hợp mô phỏng
HN0256,Hà Nội,Nam Từ Liêm,Mỹ Đình 1,Sunshine Pearl,Chung cư,Đang bán,121.1,3,3,Đông,35,2012,Sổ hồng lâu dài,Cơ bản,10.11,83.5,23.7,Ô tô + xe máy,Có,Không,Có,Gần tuyến metro,2025-10-18,Dữ liệu tổng hợp mô phỏng
HN0257,Hà Nội,Thanh Xuân,Thanh Xuân Trung,King Palace,Chung cư,Cần bán gấp,44.2,1,1,Đông Bắc,5,2022,Sổ hồng lâu dài,Nhà thô,3.29,74.5,21.4,Ô tô + xe máy,Không,Có,Có,Gần trung tâm thương mại,2026-02-19,Dữ liệu tổng hợp mô phỏng
HN0258,Hà Nội,Long Biên,Việt Hưng,Anland Grand,Chung cư,Chuyển nhượng,59.7,2,2,Đông Bắc,10,2012,Sổ hồng lâu dài,Cơ bản,3.35,56.0,17.9,Ô tô + xe máy,Không,Không,Có,Gần trường quốc tế,2026-03-22,Dữ liệu tổng hợp mô phỏng
HN0259,Hà Nội,Thanh Xuân,Nhân Chính,Masteri Heights,Chung cư,Đang bán,47.4,1,1,Nam,6,2013,HĐMB,Nội thất cao cấp,2.76,58.1,19.3,Xe máy,Không,Có,Có,Gần trung tâm thương mại,2025-10-20,Dữ liệu tổng hợp mô phỏng
HN0260,Hà Nội,Ba Đình,Giảng Võ,Grandeur Palace,Chung cư,Cần bán gấp,44.2,1,1,Nam,32,2019,Sổ hồng lâu dài,Cơ bản,5.08,114.8,20.0,Ô tô riêng,Không,Có,Có,Gần công viên,2026-03-12,Dữ liệu tổng hợp mô phỏng
HN0261,Hà Nội,Nam Từ Liêm,Mễ Trì,FLC Garden,Chung cư,Cho thuê mua,58.8,2,2,Đông Bắc,9,2018,Sổ hồng lâu dài,Cơ bản,4.5,76.5,22.3,Ô tô + xe máy,Không,Có,Có,Gần tuyến metro,2026-02-28,Dữ liệu tổng hợp mô phỏng
HN0262,Hà Nội,Cầu Giấy,Nghĩa Đô,Central Field,Chung cư,Chuyển nhượng,84.4,2,2,Tây,39,2024,HĐMB,Cơ bản,6.38,75.6,23.1,Ô tô + xe máy,Không,Có,Có,Gần công viên,2026-02-23,Dữ liệu tổng hợp mô phỏng
HN0263,Hà Nội,Hoàng Mai,Lĩnh Nam,Gelexia Riverside,Chung cư,Đang bán,97.1,3,3,Đông Bắc,6,2013,Sổ hồng lâu dài,Nhà thô,4.59,47.3,22.6,Ô tô riêng,Không,Có,Có,Tầng trung đẹp,2025-11-13,Dữ liệu tổng hợp mô phỏng
HN0264,Hà Nội,Nam Từ Liêm,Mễ Trì,Vinhomes Plaza,Chung cư,Cần bán gấp,122.2,3,3,Tây Nam,8,2021,Sổ hồng lâu dài,Full nội thất,7.33,60.0,13.3,Ô tô + xe máy,Không,Có,Có,Ban công rộng,2026-03-12,Dữ liệu tổng hợp mô phỏng
HN0265,Hà Nội,Hai Bà Trưng,Quỳnh Lôi,Vinhomes Garden,Chung cư,Đang bán,76.4,2,2,Đông,28,2018,Sổ hồng lâu dài,Cơ bản,5.85,76.6,23.2,Ô tô + xe máy,Không,Có,Không,Gần trường quốc tế,2026-03-06,Dữ liệu tổng hợp mô phỏng
HN0266,Hà Nội,Cầu Giấy,Mai Dịch,Discovery Complex,Chung cư,Đang bán,123.9,3,2,Tây Nam,8,2014,Sổ hồng lâu dài,Nhà thô,9.57,77.2,18.9,Ô tô + xe máy,Có,Có,Có,Gần công viên,2026-01-01,Dữ liệu tổng hợp mô phỏng
HN0267,Hà Nội,Hoàng Mai,Lĩnh Nam,Gamuda Gardens,Chung cư,Đang bán,76.9,2,2,Tây,35,2016,Sổ hồng 50 năm,Cơ bản,4.17,54.2,20.7,Ô tô + xe máy,Không,Có,Có,Gần tuyến metro,2026-01-28,Dữ liệu tổng hợp mô phỏng
HN0268,Hà Nội,Nam Từ Liêm,Mỹ Đình 1,HD Mon City,Chung cư,Đang bán,104.3,3,3,Đông Nam,42,2012,Sổ hồng lâu dài,Nội thất cao cấp,7.92,75.9,18.3,Ô tô + xe máy,Không,Không,Có,Gần trường quốc tế,2026-03-31,Dữ liệu tổng hợp mô phỏng
HN0269,Hà Nội,Hai Bà Trưng,Minh Khai,Anland Residence,Chung cư,Cần bán gấp,47.5,1,1,Tây,13,2021,HĐMB,Full nội thất,4.29,90.5,9.5,Ô tô + xe máy,Không,Có,Có,Căn góc,2026-01-29,Dữ liệu tổng hợp mô phỏng
HN0270,Hà Nội,Hoàng Mai,Lĩnh Nam,Gelexia Riverside,Chung cư,Đang bán,109.7,3,3,Tây Bắc,14,2016,Sổ hồng lâu dài,Cơ bản,6.11,55.7,8.6,Không rõ,Không,Có,Không,Gần công viên,2025-12-25,Dữ liệu tổng hợp mô phỏng
HN0271,Hà Nội,Hai Bà Trưng,Vĩnh Tuy,Anland Riverside,Chung cư,Đang bán,77.0,2,2,Tây Nam,25,2012,Sổ hồng lâu dài,Cơ bản,7.01,91.1,13.4,Xe máy,Không,Có,Có,Đầy đủ tiện ích,2025-12-09,Dữ liệu tổng hợp mô phỏng
HN0272,Hà Nội,Ba Đình,Giảng Võ,The Golden Armor,Chung cư,Cần bán gấp,64.5,2,2,Bắc,36,2022,Sổ hồng lâu dài,Cơ bản,8.09,125.5,12.9,Ô tô + xe máy,Không,Có,Có,Gần công viên,2025-10-19,Dữ liệu tổng hợp mô phỏng
HN0273,Hà Nội,Thanh Xuân,Khương Đình,Sunshine Grand,Chung cư,Chuyển nhượng,55.3,2,2,Tây,3,2025,HĐMB,Cơ bản,3.6,65.0,21.1,Ô tô + xe máy,Có,Có,Có,Tầng trung đẹp,2025-10-23,Dữ liệu tổng hợp mô phỏng
HN0274,Hà Nội,Hai Bà Trưng,Bạch Mai,The Matrix Garden,Chung cư,Đang bán,50.1,1,1,Đông Nam,27,2022,Sổ hồng lâu dài,Full nội thất,4.55,90.7,19.9,Ô tô + xe máy,Không,Không,Không,Ban công rộng,2026-02-03,Dữ liệu tổng hợp mô phỏng
HN0275,Hà Nội,Long Biên,Phúc Đồng,MHDI City,Chung cư,Chuyển nhượng,84.9,2,2,Tây,19,2025,Sổ hồng 50 năm,Cơ bản,4.35,51.2,11.2,Ô tô + xe máy,Có,Không,Có,View sông thoáng,2025-12-17,Dữ liệu tổng hợp mô phỏng
HN0276,Hà Nội,Ba Đình,Cống Vị,Vinhomes Metropolis,Chung cư,Cần bán gấp,62.5,2,2,Bắc,31,2012,HĐMB,Full nội thất,7.95,127.2,20.6,Không rõ,Không,Có,Không,Gần công viên,2025-12-08,Dữ liệu tổng hợp mô phỏng
HN0277,Hà Nội,Ba Đình,Giảng Võ,Lancaster Núi Trúc,Chung cư,Đang bán,48.7,1,1,Tây Nam,25,2017,Sổ hồng lâu dài,Nội thất cao cấp,6.8,139.6,9.4,Ô tô + xe máy,Không,Có,Có,View nội khu yên tĩnh,2026-01-01,Dữ liệu tổng hợp mô phỏng
HN0278,Hà Nội,Hà Đông,Dương Nội,Mulberry Lane,Chung cư,Cần bán gấp,81.6,2,2,Đông,31,2023,Sổ hồng lâu dài,Cơ bản,3.45,42.2,22.3,Xe máy,Không,Không,Không,View nội khu yên tĩnh,2026-03-31,Dữ liệu tổng hợp mô phỏng
HN0279,Hà Nội,Bắc Từ Liêm,Cổ Nhuế 2,EcoLife Residence,Chung cư,Đang bán,110.0,3,3,Đông Nam,37,2014,HĐMB,Cơ bản,6.1,55.5,8.3,Không rõ,Không,Có,Có,View nội khu yên tĩnh,2026-02-24,Dữ liệu tổng hợp mô phỏng
HN0280,Hà Nội,Long Biên,Việt Hưng,EcoLife Grand,Chung cư,Chuyển nhượng,60.1,2,2,Nam,40,2013,HĐMB,Full nội thất,2.81,46.7,22.5,Ô tô + xe máy,Không,Không,Có,Ban công rộng,2026-03-10,Dữ liệu tổng hợp mô phỏng
HN0281,Hà Nội,Nam Từ Liêm,Mỹ Đình 2,Vinhomes Smart City,Chung cư,Cho thuê mua,106.7,3,3,Tây Bắc,7,2013,Sổ hồng lâu dài,Cơ bản,6.98,65.4,11.0,Ô tô + xe máy,Không,Có,Không,Tầng trung đẹp,2026-01-03,Dữ liệu tổng hợp mô phỏng
HN0282,Hà Nội,Ba Đình,Cống Vị,Lancaster Núi Trúc,Chung cư,Đang bán,39.8,1,1,Đông Bắc,40,2026,Sổ hồng lâu dài,Cơ bản,4.57,114.8,12.3,Ô tô + xe máy,Không,Có,Có,Tầng trung đẹp,2026-03-18,Dữ liệu tổng hợp mô phỏng
HN0283,Hà Nội,Bắc Từ Liêm,Cổ Nhuế 2,The Matrix Riverside,Chung cư,Cho thuê mua,84.6,2,2,Đông,9,2021,Sổ hồng lâu dài,Full nội thất,4.6,54.4,21.9,Xe máy,Có,Có,Không,Gần công viên,2025-12-03,Dữ liệu tổng hợp mô phỏng
HN0284,Hà Nội,Ba Đình,Kim Mã,Grandeur Palace,Chung cư,Đang bán,68.0,2,2,Bắc,24,2021,HĐMB,Nội thất cao cấp,8.6,126.4,11.2,Ô tô riêng,Không,Có,Không,Gần công viên,2025-11-09,Dữ liệu tổng hợp mô phỏng
HN0285,Hà Nội,Long Biên,Ngọc Lâm,The Matrix Tower,Chung cư,Đang bán,58.3,2,2,Đông Bắc,17,2013,Sổ hồng lâu dài,Nội thất cao cấp,2.66,45.7,9.3,Xe máy,Có,Có,Có,Tầng trung đẹp,2025-12-14,Dữ liệu tổng hợp mô phỏng
HN0286,Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Sky Park Residence,Chung cư,Chuyển nhượng,84.3,2,2,Nam,15,2017,Sổ hồng lâu dài,Full nội thất,5.57,66.1,23.3,Ô tô + xe máy,Có,Có,Không,Tầng trung đẹp,2026-02-28,Dữ liệu tổng hợp mô phỏng
